run,target,mean_return,average_cost,state_distance,tail_risk,d_goal_rho_mean,d_goal_rhostar_mean,d_goal_mean_gap,d_goal_rho_std,d_goal_rhostar_std,d_goal_std_gap,d_hazard_rho_mean,d_hazard_rhostar_mean,d_hazard_mean_gap,d_hazard_rho_std,d_hazard_rhostar_std,d_hazard_std_gap,d_agent_rho_mean,d_agent_rhostar_mean,d_agent_mean_gap,d_agent_rho_std,d_agent_rhostar_std,d_agent_std_gap,speed_rho_mean,speed_rhostar_mean,speed_mean_gap,speed_rho_std,speed_rhostar_std,speed_std_gap
Method3 + safe gaussian,rho_star_safe_gaussian.json,-7.757875942578887,76.0,6.533414670218891,0.1135,4.315253998056594,1.2935982187372648,3.021655779319329,3.679042940607532,0.4779689263192028,3.201074014288329,3.1428933724102825,0.7722331396669985,2.370660232743284,3.333247426107292,0.2173174389037403,3.1159299872035517,5.9389518588188075,2.052045179038821,3.8869066797799863,3.3092592335708417,0.5700329863090449,2.7392262472617968,1.1291382854321181,0.694805385914516,0.4343328995176021,0.2835931180429653,0.20821824138989944,0.07537487665306583
Method3 + safe empirical,rho_star_safe_empirical.json,3.2349691241207874,175.33333333333334,0.580168032904235,0.24233333333333335,1.428870739274941,1.2935982187372648,0.13527252053767613,0.6275374379274555,0.4779679263192028,0.14956951160825271,0.5680242642152508,0.7722331396669985,-0.2042088754517477,0.3047634083580996,0.2173164389037403,0.08744696945435931,1.508002404151884,2.052045179038821,-0.5440427748869372,0.5185231312752973,0.5700319863090448,-0.05150885503374758,0.7330794531534681,0.694805385914516,0.0382740672389521,0.2205563375572585,0.20821724138989944,0.012339096167359065
Method3 + safe blended,rho_star_safe_blended.json,0.2757108388750677,116.0,1.132868136359356,0.15716666666666668,1.4595555565913234,0.8961589312423588,0.5633966253489646,0.5857659869893421,0.36678135579152166,0.21898463119782047,0.624517769183236,1.0633398838001993,-0.4388221146169633,0.2660960196054691,0.3303904633422442,-0.06429444373677512,1.6528743136579154,1.631227107423293,0.021647206234622463,0.4923442869078534,0.48201979178542687,0.010324495122426558,0.7531455722099748,0.5768832315487096,0.17626234066126523,0.0616008536121442,0.20493094483393967,-0.14333009122179546
Method4 + safe gaussian,rho_star_safe_gaussian.json,0.7240549940120057,89.0,1.6482927725798522,0.14283333333333334,2.0889929708787944,1.2935982187372648,0.7953947521415297,1.218127159521053,0.4779689263192028,0.7401582332018501,1.0149427980951768,0.7722331396669985,0.24270965842817838,0.7164664519702308,0.2173174389037403,0.4991490130664905,2.5017111541379413,2.052045179038821,0.4496659750991201,0.9051210430376008,0.5700329863090449,0.3350880567285559,0.9892197878699011,0.694805385914516,0.29441440195538504,0.15195327833849612,0.20821824138989944,-0.05626496305140333
Method4 + safe empirical,rho_star_safe_empirical.json,-2.9542918595608563,87.33333333333333,1.0424474580741496,0.12416666666666666,2.18648202139245,1.2935982187372648,0.8928838026551851,1.3079604303228316,0.4779679263192028,0.8299925040036288,1.064412301446014,0.7722331396669985,0.2921791617790156,0.9090654918962309,0.2173164389037403,0.6917490529924906,2.8379331781829107,2.052045179038821,0.7858879991440895,1.2328989895915896,0.5700319863090448,0.6628670032825448,0.7746316133796384,0.694805385914516,0.07982622746512236,0.2713461167561924,0.20821724138989944,0.06312887536629297
Method4 + safe blended,rho_star_safe_blended.json,-0.2278090406956149,102.66666666666667,2.3695990760438512,0.18916666666666668,2.2568955160300677,0.8961589312423588,1.3607365847877089,1.2870424675445622,0.36678135579152166,0.9202611117530406,1.0965777859614128,1.0633398838001993,0.03323790216121347,0.7965761705676391,0.3303904633422442,0.4661857072253949,2.8640833621184254,1.631227107423293,1.2328562546951325,1.157010966202521,0.48201979178542687,0.6749911744170941,0.8112793959969264,0.5768832315487096,0.23439616444821687,0.16918838403138137,0.20493094483393967,-0.035742560802558304
