method,mean_return,success_rate,average_cost,mean_state_w2,final_state_w2,mean_tail_risk,d_goal_mean,d_goal_std,d_goal_target_mean,d_goal_target_std,d_goal_mean_gap,d_goal_std_gap,d_hazard_mean,d_hazard_std,d_hazard_target_mean,d_hazard_target_std,d_hazard_mean_gap,d_hazard_std_gap,d_agent_mean,d_agent_std,d_agent_target_mean,d_agent_target_std,d_agent_mean_gap,d_agent_std_gap,speed_mean,speed_std,speed_target_mean,speed_target_std,speed_mean_gap,speed_std_gap
Method 1,0.7926464337274925,1.0,125.0,1.9400951325851852,1.9779366755928465,0.263,1.7493908318152298,0.25744879990127034,0.3,0.2,1.4493908318152298,0.05744879990127033,0.47306073459062953,0.16172432297816922,1.5,0.5,-1.0269392654093705,-0.3382756770218308,1.2639869346772072,0.24436604398930595,1.0,0.35,0.26398693467720724,-0.10563395601069403,0.7553251482772911,0.06506024704226121,0.4,0.2,0.3553251482772911,-0.1349397529577388
Method 2,0.7974079641413045,1.0,159.0,1.9283773032954272,1.9359386482962837,0.1785,1.750621362023752,0.2561586102030755,0.3,0.2,1.450621362023752,0.0561586102030755,0.4621334569497062,0.1499450745829572,1.5,0.5,-1.0378665430502938,-0.3500549254170428,1.0834289872144245,0.10233990937354534,1.0,0.35,0.08342898721442449,-0.24766009062645464,0.8056620713103041,0.0847379280583762,0.4,0.2,0.4056620713103041,-0.11526207194162381
Method 2 + rho,-0.8731302964762815,0.0,21.0,2.321613896857577,2.0044554210796286,0.0375,1.6990092361279572,0.5149133758493529,0.3,0.2,1.3990092361279571,0.3149133758493529,0.797983912370539,0.5290979194681473,1.5,0.5,-0.702016087629461,0.029097919468147326,2.4824180725651495,0.7470909766081885,1.0,0.35,1.4824180725651495,0.3970909766081885,0.599775771377387,0.2538663603339582,0.4,0.2,0.199775771377387,0.053866360333958196
Method 3,0.7735956884055948,1.0,159.0,1.9288776659799636,1.9103004902007117,0.1705,1.7428189661658249,0.24677530263195194,0.3,0.2,1.4428189661658248,0.046775302631951926,0.4695453793394304,0.14560771107636147,1.5,0.5,-1.0304546206605696,-0.3543922889236385,1.0886525019239248,0.27620233855949633,1.0,0.35,0.08865250192392482,-0.07379766144050365,0.7531464068578166,0.061599664291853595,0.4,0.2,0.3531464068578166,-0.13840033570814642
Method 4,2.3983053458735553,1.0,264.0,1.8762139909627098,1.9827606217394447,0.27,1.5753442770302157,0.6484009931610131,0.3,0.2,1.2753442770302157,0.44840099316101306,0.49248285447569606,0.23579586701995742,1.5,0.5,-1.007517145524304,-0.2642041329800426,1.4419635472838077,0.3310891244424769,1.0,0.35,0.4419635472838077,-0.018910875557523077,0.6406975255720981,0.25787073937205046,0.4,0.2,0.24069752557209811,0.05787073937205045
