sample,d_goal,d_hazard,d_agent,speed
0,0.789164425850718,0.5964015180573957,1.2523710676770363,0.0
1,1.3135703513447516,0.5993568773889589,1.2523710676770363,0.0
2,0.7881272063579556,0.5957158807749335,1.2510379292860074,0.0771981080582744
3,1.3130794274249855,0.598786620873667,1.2510379292860074,0.07897125228243326
4,0.7863527392050136,0.5939647483714398,1.2485250982525973,0.12065825942934387
5,1.3129139224733308,0.5984445347693859,1.2485250982525973,0.1261611875714721
6,0.7840540813061955,0.5912167322795236,1.2450817008192459,0.16677241880614552
7,1.313367678637433,0.5971625134331743,1.2450817008192459,0.17587264599912306
8,0.7812137069910967,0.5875131135165643,1.2407090035283606,0.21289685539273026
9,1.3144936818361177,0.5934456680496965,1.2407090035283606,0.22542830745950795
10,0.7778099817819816,0.5828972548019589,1.2354056466009964,0.25789991251737315
11,1.3163325161054136,0.5886745090482076,1.2354056466009964,0.27374992529492315
12,0.7738256015710667,0.5774152430830738,1.2291785640345605,0.30137019363805245
13,1.3189208543075677,0.5828883491081285,1.2291785640345605,0.320450727716732
14,0.7692474536575208,0.5711159162393581,1.222043749754503,0.34314307160756097
15,1.3222912708400016,0.5761286404798871,1.222043749754503,0.36537756233198915
16,0.7640661893934838,0.5640509433126166,1.2140265380353485,0.3831529887787707
17,1.3264717732634295,0.5684389832896667,1.2140265380353485,0.40847053286348106
18,0.7582758300669387,0.5562749597012273,1.2051618147634924,0.4213801851951916
19,1.3314853911288111,0.5598651903177129,1.2051618147634924,0.44971280282485027
20,0.7518734149865856,0.5478457550551307,1.195494172900482,0.45782847946286337
21,1.3373498421191579,0.550455407690565,1.195494172900482,0.4891097723864486
22,0.7448586885652628,0.5388245128280694,1.185078006434936,0.4925148963171712
23,1.3440772814462598,0.5402602946800462,1.185078006434936,0.5266793876516791
24,0.7372338228766929,0.5292761004159563,1.1739775342845984,0.5254643789861284
25,1.3516741378312078,0.5293332678494721,1.1739775342845984,0.5624472058458357
26,0.7290031723694952,0.5192694079832637,1.1622667431507072,0.5567068953764172
27,1.3601410370314417,0.5177308168058948,1.1622667431507072,0.596443691735957
28,0.7201730576940777,0.5088777322825017,1.150029235592225,0.5862757579172598
29,1.3694728114509789,0.5055129008390573,1.150029235592225,0.6287026421675266
30,0.7107515758947877,0.49817919869205973,1.1373579666344051,0.614206597240965
31,1.379658592012491,0.4927434376871045,1.1373579666344051,0.6592602169654037
32,0.7007484345275142,0.48725720992636673,1.12435484920666,0.640536706408582
33,1.3906819763165483,0.479490897399512,1.12435484920666,0.6881543128261266
34,0.690174807573808,0.4762009029203697,1.111130205862627,0.6653046043393299
35,1.4025212652815116,0.4658290154430815,1.111130205862627,0.7154241398319316
36,0.6790432113326782,0.46510558573255734,1.0978020419283407,0.6885497337788578
37,1.4151497590345175,0.45183763924024545,1.0978020419283407,0.7411099222525026
38,0.667367398780014,0.45407311348721474,1.0844951139421646,0.7103122445241818
