sample,d_goal,d_hazard,d_agent,speed
0,0.789164425850718,0.5964015180573957,1.2523710676770363,0.0
1,1.3135703513447516,0.5993568773889589,1.2523710676770363,0.0
2,0.7900593851281983,0.5970996797132374,1.2534945865757552,0.06788557006001802
3,1.314087602007326,0.5999517750106571,1.2534945865757552,0.07719810805827433
4,0.7911763918986338,0.5977319667682217,1.2559861099182918,0.05123939142386598
5,1.314430759093897,0.6004690789391732,1.2559861099182918,0.12065825942934381
6,0.7918584750064032,0.5972845795982161,1.2598379738200929,0.07637734196567349
7,1.3144332991440397,0.600736420147081,1.2598379738200929,0.1667724188061455
8,0.7925627946694901,0.5970229280281608,1.264521291209522,0.04348471634715378
9,1.3141655603350388,0.6008295641426038,1.264521291209522,0.2128968553927302
10,0.7933626258800727,0.5970636564564195,1.2699819626856794,0.047112509966052526
11,1.313707651296909,0.6008362075579773,1.2699819626856794,0.25789991251737304
12,0.7939749815124069,0.5963724552921384,1.2766763913617072,0.08767724699058246
13,1.3131397039047272,0.6008455942507989,1.2766763913617072,0.30137019363805223
14,0.7943998363457444,0.5947311417695076,1.284732679414842,0.13496725399232049
15,1.3125411260085358,0.6009473852469902,1.284732679414842,0.3431430716075609
16,0.7947019113984913,0.5922007564859862,1.2941270327915595,0.18284713063470326
17,1.311990200696809,0.6012308255968194,1.2941270327915595,0.3831529887787706
18,0.7949595828397682,0.5890311928751445,1.3046975744435605,0.20982426510571844
19,1.311563673955387,0.6017838393940591,1.3046975744435605,0.42138018519519144
20,0.7952236038184997,0.5856300146822274,1.316123002740758,0.2130513941787729
21,1.311336318871483,0.6026920466599854,1.316123002740758,0.4578284794628632
22,0.7954337871926527,0.5827984336112023,1.327636739124518,0.14553535513020208
23,1.3113804801779991,0.6040377186124097,1.327636739124518,0.4925148963171712
24,0.7954814741259493,0.5809785533115851,1.3387051305087967,0.08127945158689309
25,1.311765604895874,0.605898696800846,1.3387051305087967,0.5254643789861282
26,0.7952669735483028,0.5800337555081903,1.349267644005832,0.02672770112132846
27,1.312557766185905,0.6083473093612866,1.349267644005832,0.5567068953764172
28,0.794675313639603,0.5798365457726592,1.3592360270515393,0.04672439445546602
29,1.3138191887314845,0.6114493238472275,1.3592360270515393,0.5862757579172595
30,0.7937727029608275,0.5804146012034593,1.3686068887347695,0.1027298198071415
31,1.315607784977841,0.6152629797966136,1.3686068887347695,0.6142065972409649
32,0.7928961637721201,0.5809861026524947,1.378351976839314,0.05532876597042898
33,1.3179767122675712,0.6198381445933229,1.378351976839314,0.640536706408582
34,0.792390931016198,0.5809160285698808,1.389342052977198,0.018620327966227024
35,1.3209739612588645,0.6252156327988516,1.389342052977198,0.66530460433933
36,0.7922620180188065,0.5801600433866491,1.4015727781155005,0.06271997076852844
37,1.3246419859299952,0.6314267219583555,1.4015727781155005,0.6885497337788579
38,0.7925772852193197,0.5788102583951558,1.4150010362616245,0.11405271788661382
