method,mean_return,success_rate,average_cost,mean_state_w2,final_state_w2,mean_tail_risk,d_goal_mean,d_goal_std,d_goal_target_mean,d_goal_target_std,d_goal_mean_gap,d_goal_std_gap,d_hazard_mean,d_hazard_std,d_hazard_target_mean,d_hazard_target_std,d_hazard_mean_gap,d_hazard_std_gap,d_agent_mean,d_agent_std,d_agent_target_mean,d_agent_target_std,d_agent_mean_gap,d_agent_std_gap,speed_mean,speed_std,speed_target_mean,speed_target_std,speed_mean_gap,speed_std_gap
Method 1,0.3031664191916018,1.0,104.0,1.9059152923526799,1.9467586157444317,0.188,1.4929302379378544,0.6626547850320693,0.3,0.2,1.1929302379378544,0.4626547850320693,0.6475008517914554,0.31172059730397156,1.5,0.5,-0.8524991482085446,-0.18827940269602844,1.7498062788365598,0.47392752250233433,1.0,0.35,0.7498062788365598,0.12392752250233435,0.7608680122090251,0.06813916850150491,0.4,0.2,0.3608680122090251,-0.1318608314984951
Method 2,0.41207403271215776,1.0,126.66666666666667,1.8636216194302058,1.9085964354986669,0.16316666666666665,1.45755944123628,0.5920501109674212,0.3,0.2,1.15755944123628,0.3920501109674212,0.6141404075091403,0.27114560228154594,1.5,0.5,-0.8858595924908597,-0.22885439771845406,1.6598757835125502,0.46761280202648553,1.0,0.35,0.6598757835125502,0.11761280202648555,0.8056620713103042,0.08473792805837624,0.4,0.2,0.4056620713103042,-0.11526207194162377
Method 2 + rho,0.5228780071383405,0.6666666666666666,108.33333333333333,1.9210650867502541,2.1234474399585728,0.15466666666666667,1.3979281981400138,0.6950113702211722,0.3,0.2,1.0979281981400137,0.4950113702211722,0.68680584313219,0.39810329244947507,1.5,0.5,-0.81319415686781,-0.10189670755052493,1.9834675578197252,0.630494403985498,1.0,0.35,0.9834675578197252,0.2804944039854981,0.5512014939744375,0.25362793688531643,0.4,0.2,0.1512014939744375,0.05362793688531642
Method 3,0.2757108388750677,1.0,116.0,1.849348479435,2.1232928831010702,0.15716666666666668,1.4595555565913234,0.5857659869893421,0.3,0.2,1.1595555565913234,0.3857659869893421,0.624517769183236,0.2660960196054691,1.5,0.5,-0.875482230816764,-0.23390398039453092,1.6528743136579154,0.4923442869078534,1.0,0.35,0.6528743136579154,0.14234428690785345,0.7531455722099748,0.0616008536121442,0.4,0.2,0.3531455722099748,-0.1383991463878558
Method 4,3.1320570791621605,1.0,113.33333333333333,2.0182999218019053,2.8499372890115615,0.14,1.5903542624910476,0.81972250069816,0.3,0.2,1.2903542624910476,0.6197225006981599,0.801219811427809,0.4500792058082077,1.5,0.5,-0.698780188572191,-0.049920794191792295,1.9503827123354762,0.5540937528761138,1.0,0.35,0.9503827123354762,0.20409375287611387,0.633402727725878,0.26982282259930007,0.4,0.2,0.233402727725878,0.06982282259930006
